,صيانة,الترجمة
0,تشهد فرع مؤسسة حسن موسى الكريديس التجارية بأنه تم الكشف وتشغيل نظام الإطفاء,The branch of the Hassan Musa Al-Kreidis Commercial Establishment certifies that the extinguishing system has been detected and operated
1,والإنذار المبكر على النشاط والتأكد من عملها وصلاحيتها وعليه تم الاتفاق على ,"Early warning of the activity and ensuring its operation and suitability, and accordingly, it was agreed upon"
2,الاتي:,following:
3,1) تقوم المؤسسة بعمل زيارة كل [1] من تاريخ كتابة العقد.,1) The organization makes a visit every [1] from the date of writing the contract.
4,2) جميع متطلبات السلامة الموجودة في المنشأة الموضحة أعلاه مسؤولية المؤسسة القائمة,2) All safety requirements in the facility described above are the responsibility of the existing organization
5,بعمل الصيانة ولا يحق لصاحب المنشأة احضار أي مؤسسة أخرى لأعمال الصيانة.,"To carry out maintenance, the facility owner does not have the right to bring any other organization for maintenance work."
6,3) يجب التقيد بالشخوص على جميع متطلبات السلامة الموضحة أعلاه وعمل الصيانة اللازمة,3) Persons must adhere to all safety requirements described above and perform the necessary maintenance
7,لها، بحيث تكون جاهزة عند حدوث أي شيء.,"For her, so that she is ready when anything happens."
8,4) يجب على الفني المختص التابع لمؤسسة السلامة بعد الشخوص على المنشأة، وعمل الصيانة,4) The specialized technician affiliated with the safety organization must inspect the facility and carry out maintenance
9,اللازمة وتقديم تقرير عن حالة الانظمة.,necessary and to provide a report on the status of the systems.
10,5) يتحمل صاحب المنشأة مسؤولية العبث في أدوات السلامة وجميع التكاليف الصيانة,5) The facility owner bears responsibility for tampering with safety equipment and all maintenance costs
11,بسبب العبث.,Because of absurdity.
12,6) يجب أن تكون جميع متطلبات السلامة الموضحة في المشاهد المعدة بعد كل زيارة مطابقة,6) All safety requirements shown in the scenes prepared after each visit must be in compliance
13,لمتطلبات السلامة في عقد الصيانة.,For safety requirements in the maintenance contract.
14,7) العقد لا يشمل قطع الغيار وتكاليف التركيب.,7) The contract does not include spare parts and installation costs.
15,8) العقد لا يشمل صيانة وتعبئة الطفايات.,8) The contract does not include maintenance and filling of extinguishers.
16,9) قيمة العقد (cost ريال) شامل قيمة الضريبة المضافة.,9) Contract value (cost riyals) including value added tax.
17,بناءً على ما ذكر أعلاه أُعطي هذا العقد والمؤسسة مسؤولة مسؤولية تا امة عن أي,"Based on what was mentioned above, this contract was given and the organization is fully responsible for any"
18,خلل خلال مدة العقد. لا توجد أي عوائق أمام أنظمة الإنذار والإطفاء والإخلاء.,"Defect during the contract period. There are no obstacles to the alarm, fire and evacuation systems."
19,العقد محرر من نسختين,The contract is drawn up in two copies
